Date,Close
2017-01-30,4784.640137
2017-01-27,4839.97998
2017-01-26,4867.240234
2017-01-25,4877.669922
2017-01-24,4830.029785
2017-01-23,4821.410156
2017-01-20,4850.669922
2017-01-19,4841.140137
2017-01-18,4853.399902
2017-01-17,4859.689941
2017-01-16,4882.180176
2017-01-13,4922.490234
2017-01-12,4863.970215
2017-01-11,4888.709961
2017-01-10,4888.22998
2017-01-09,4887.569824
2017-01-06,4909.839844
2017-01-05,4900.640137
2017-01-04,4899.399902
2017-01-03,4899.330078
2017-01-02,4882.379883
2016-12-30,4862.310059
2016-12-29,4838.470215
2016-12-28,4848.009766
2016-12-27,4848.279785
2016-12-23,4839.680176
2016-12-22,4834.629883
2016-12-21,4833.819824
2016-12-20,4849.890137
2016-12-19,4822.77002
2016-12-16,4833.27002
2016-12-15,4819.22998
2016-12-14,4769.240234
2016-12-13,4803.870117
2016-12-12,4760.77002
2016-12-09,4764.069824
2016-12-08,4735.47998
2016-12-07,4694.720215
2016-12-06,4631.939941
2016-12-05,4574.319824
2016-12-02,4528.819824
2016-12-01,4560.609863
2016-11-30,4578.339844
2016-11-29,4551.459961
2016-11-28,4510.390137
2016-11-25,4550.27002
2016-11-24,4542.560059
2016-11-23,4529.209961
2016-11-22,4548.350098
2016-11-21,4529.580078
2016-11-18,4504.350098
2016-11-17,4527.77002
2016-11-16,4501.140137
2016-11-15,4536.529785
2016-11-14,4508.549805
2016-11-11,4489.27002
2016-11-10,4530.950195
2016-11-09,4543.47998
2016-11-08,4476.890137
2016-11-07,4461.209961
2016-11-04,4377.459961
2016-11-03,4411.680176
2016-11-02,4414.669922
2016-11-01,4470.279785
2016-10-31,4509.259766
2016-10-28,4548.580078
2016-10-27,4533.569824
2016-10-26,4534.589844
2016-10-25,4540.839844
2016-10-24,4552.580078
2016-10-21,4536.069824
2016-10-20,4540.120117
2016-10-19,4520.299805
2016-10-18,4508.910156
2016-10-17,4450.22998
2016-10-14,4470.919922
2016-10-13,4405.169922
2016-10-12,4452.240234
2016-10-11,4471.740234
2016-10-10,4497.259766
2016-10-07,4449.910156
2016-10-06,4480.100098
2016-10-05,4489.950195
2016-10-04,4503.089844
2016-10-03,4453.560059
2016-09-30,4448.259766
2016-09-29,4443.839844
2016-09-28,4432.450195
2016-09-27,4398.680176
2016-09-26,4407.850098
2016-09-23,4488.689941
2016-09-22,4509.819824
2016-09-21,4409.549805
2016-09-20,4388.600098
2016-09-19,4394.189941
2016-09-16,4332.450195
2016-09-15,4373.220215
2016-09-14,4370.259766
2016-09-13,4387.180176
2016-09-12,4439.799805
2016-09-09,4491.399902
2016-09-08,4542.200195
2016-09-07,4557.660156
2016-09-06,4529.959961
2016-09-05,4541.080078
2016-09-02,4542.169922
2016-09-01,4439.669922
2016-08-31,4438.220215
2016-08-30,4457.490234
2016-08-29,4424.25
2016-08-26,4441.870117
2016-08-25,4406.609863
2016-08-24,4435.470215
2016-08-23,4421.450195
2016-08-22,4389.939941
2016-08-19,4400.52002
2016-08-18,4437.060059
2016-08-17,4417.680176
2016-08-16,4460.439941
2016-08-15,4497.859863
2016-08-12,4500.189941
2016-08-11,4503.950195
2016-08-10,4452.009766
2016-08-09,4468.069824
2016-08-08,4415.459961
2016-08-05,4410.549805
2016-08-04,4345.629883
2016-08-03,4321.080078
2016-08-02,4327.990234
2016-08-01,4409.169922
2016-07-29,4439.810059
2016-07-28,4420.580078
2016-07-27,4446.959961
2016-07-26,4394.77002
2016-07-25,4388.00
2016-07-22,4381.100098
2016-07-21,4376.25
2016-07-20,4379.759766
2016-07-19,4330.129883
2016-07-18,4357.740234
2016-07-15,4372.509766
2016-07-14,4385.52002
2016-07-13,4335.259766
2016-07-12,4331.379883
2016-07-11,4264.529785
2016-07-08,4190.680176
2016-07-07,4117.850098
2016-07-06,4085.300049
2016-07-05,4163.419922
2016-07-04,4234.859863
2016-07-01,4273.959961
2016-06-30,4237.47998
2016-06-29,4195.319824
2016-06-28,4088.850098
2016-06-27,4030.300049
2016-06-24,4106.72998
2016-06-23,4465.899902
2016-06-22,4380.029785
2016-06-21,4367.240234
2016-06-20,4340.759766
2016-06-17,4193.830078
2016-06-16,4153.009766
2016-06-15,4171.580078
2016-06-14,4130.330078
2016-06-13,4227.02002
2016-06-10,4306.720215
2016-06-09,4405.609863
2016-06-08,4448.72998
2016-06-07,4475.859863
2016-06-06,4423.379883
2016-06-03,4421.779785
2016-06-02,4466.00
2016-06-01,4475.390137
2016-05-31,4505.620117
2016-05-30,4529.399902
2016-05-27,4514.740234
2016-05-26,4512.640137
2016-05-25,4481.640137
2016-05-24,4431.52002
2016-05-23,4325.100098
2016-05-20,4353.899902
2016-05-19,4282.540039
2016-05-18,4319.299805
2016-05-17,4297.569824
2016-05-16,4312.279785
2016-05-13,4319.990234
2016-05-12,4293.27002
2016-05-11,4316.669922
2016-05-10,4338.209961
2016-05-09,4322.810059
2016-05-06,4301.240234
2016-05-05,4319.459961
2016-05-04,4324.22998
2016-05-03,4371.97998
2016-05-02,4442.75
2016-04-29,4428.959961
2016-04-28,4557.359863
2016-04-27,4559.399902
2016-04-26,4533.180176
2016-04-25,4546.120117
2016-04-22,4569.660156
2016-04-21,4582.830078
2016-04-20,4591.919922
2016-04-19,4566.47998
2016-04-18,4506.839844
2016-04-15,4495.169922
2016-04-14,4511.509766
2016-04-13,4490.310059
2016-04-12,4345.910156
2016-04-11,4312.629883
2016-04-08,4303.120117
2016-04-07,4245.910156
2016-04-06,4284.640137
2016-04-05,4250.279785
2016-04-04,4345.220215
2016-04-01,4322.240234
2016-03-31,4385.060059
2016-03-30,4444.419922
2016-03-29,4366.669922
2016-03-24,4329.680176
2016-03-23,4423.97998
2016-03-22,4431.970215
2016-03-21,4427.799805
2016-03-18,4462.509766
2016-03-17,4442.890137
2016-03-16,4463.00
2016-03-15,4472.629883
2016-03-14,4506.589844
2016-03-11,4492.790039
2016-03-10,4350.350098
2016-03-09,4425.649902
2016-03-08,4404.02002
2016-03-07,4442.290039
2016-03-04,4456.620117
2016-03-03,4416.080078
2016-03-02,4424.890137
2016-03-01,4406.839844
2016-02-29,4353.549805
2016-02-26,4314.569824
2016-02-25,4248.450195
2016-02-24,4155.339844
2016-02-23,4238.419922
2016-02-22,4298.700195
2016-02-19,4223.040039
2016-02-18,4239.759766
2016-02-17,4233.470215
2016-02-16,4110.660156
2016-02-15,4115.25
2016-02-12,3995.060059
2016-02-11,3896.709961
2016-02-10,4061.199951
2016-02-09,3997.540039
2016-02-08,4066.310059
2016-02-05,4200.669922
2016-02-04,4228.529785
2016-02-03,4226.959961
2016-02-02,4283.990234
2016-02-01,4392.330078
2016-01-29,4417.02002
2016-01-28,4322.160156
2016-01-27,4380.359863
2016-01-26,4356.810059
2016-01-25,4311.330078
2016-01-22,4336.689941
2016-01-21,4206.399902
2016-01-20,4124.950195
2016-01-19,4272.259766
2016-01-18,4189.569824
2016-01-15,4210.160156
2016-01-14,4312.890137
2016-01-13,4391.939941
2016-01-12,4378.75
2016-01-11,4312.740234
2016-01-08,4333.759766
2016-01-07,4403.580078
2016-01-06,4480.470215
2016-01-05,4537.629883
2016-01-04,4522.450195
2015-12-31,4637.060059
2015-12-30,4677.140137
2015-12-29,4701.359863
2015-12-28,4617.950195
2015-12-24,4663.180176
2015-12-23,4674.529785
2015-12-22,4567.600098
2015-12-21,4565.169922
2015-12-18,4625.259766
2015-12-17,4677.540039
2015-12-16,4624.669922
2015-12-15,4614.399902
2015-12-14,4473.069824
2015-12-11,4549.560059
2015-12-10,4635.060059
2015-12-09,4637.450195
2015-12-08,4681.859863
2015-12-07,4756.410156
2015-12-04,4714.790039
2015-12-03,4730.209961
2015-12-02,4905.759766
2015-12-01,4914.529785
2015-11-30,4957.600098
2015-11-27,4930.140137
2015-11-26,4946.02002
2015-11-25,4892.990234
2015-11-24,4820.279785
2015-11-23,4889.120117
2015-11-20,4910.970215
